synthetic_example,system,trial_id,fixture,difficulty,failure_stage,failure_category,heldout_correct,cq_synthesis,notes
True,A0 Full,A0-vector_add-s05,vector_add,easy,qualification,constraint_violation,True,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fir16-s06,fir16,easy,heldout,interface_mismatch,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-moving_average-s00,moving_average,medium,heldout,numerical_tolerance,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-moving_average-s07,moving_average,medium,heldout,boundary_case,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-dot_product-s05,dot_product,medium,heldout,wrong_arithmetic,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-matrix_multiply_4x4-s07,matrix_multiply_4x4,medium,qualification,c_synthesis_failure,True,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-matrix_multiply_4x4-s09,matrix_multiply_4x4,medium,qualification,constraint_violation,True,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-convolution_1d-s00,convolution_1d,medium,heldout,boundary_case,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-convolution_1d-s06,convolution_1d,medium,heldout,interface_mismatch,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fft8-s03,fft8,hard,heldout,boundary_case,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fft8-s06,fft8,hard,qualification,metrics_parse_failure,True,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fft8-s07,fft8,hard,heldout,boundary_case,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-fft8-s08,fft8,hard,heldout,numerical_tolerance,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-sobel_3x3-s06,sobel_3x3,hard,heldout,boundary_case,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-sobel_3x3-s07,sobel_3x3,hard,heldout,numerical_tolerance,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-crc32_stream-s00,crc32_stream,hard,qualification,c_synthesis_failure,True,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-crc32_stream-s01,crc32_stream,hard,heldout,boundary_case,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-crc32_stream-s04,crc32_stream,hard,heldout,wrong_arithmetic,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A1 No diagnosis,A1-vector_add-s03,vector_add,easy,heldout,interface_mismatch,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A1 No diagnosis,A1-vector_add-s09,vector_add,easy,heldout,boundary_case,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A1 No diagnosis,A1-axpy-s02,axpy,easy,qualification,metrics_parse_failure,True,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A1 No diagnosis,A1-fir16-s00,fir16,easy,heldout,numerical_tolerance,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A1 No diagnosis,A1-fir16-s06,fir16,easy,heldout,wrong_arithmetic,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A1 No diagnosis,A1-fir16-s07,fir16,easy,heldout,boundary_case,False,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A1 No diagnosis,A1-moving_average-s00,moving_average,medium,qualification,metrics_parse_failure,True,False,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
