synthetic_example,system,trial_id,provider,model,llm_requests,input_tokens,output_tokens,api_cost_usd,input_price_usd_per_million,output_price_usd_per_million,pricing_basis,notes
True,A0 Full,A0-vector_add-s00,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17410,2303,0.013794,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-vector_add-s01,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17430,2309,0.013813,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-vector_add-s02,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17450,2315,0.013832,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-vector_add-s03,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17470,2321,0.013851,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-vector_add-s04,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17490,2327,0.01387,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-vector_add-s05,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17510,2333,0.01389,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-vector_add-s06,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17530,2339,0.013909,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-vector_add-s07,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17550,2345,0.013928,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-vector_add-s08,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17570,2351,0.013947,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-vector_add-s09,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17590,2357,0.013966,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-axpy-s00,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17610,2363,0.013986,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-axpy-s01,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17630,2369,0.014005,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-axpy-s02,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17650,2375,0.014024,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-axpy-s03,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17670,2381,0.014043,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-axpy-s04,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17690,2387,0.014062,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
True,A0 Full,A0-axpy-s05,OpenRouter,qwen/qwen-2.5-coder-32b-instruct,8,17710,2393,0.014082,0.66,1.0,SYNTHETIC EXAMPLE ASSUMPTION - REPLACE WITH PROVIDER INVOICE,SYNTHETIC DEMONSTRATION ROW - NOT AN EXPERIMENTAL OBSERVATION
