trial,system,trial_id,fixture,difficulty,seed,heldout_correct,csynth_success,metrics_parseable,constraint_violation,cq_synthesis,evaluator_credits,llm_requests,input_tokens,output_tokens,api_cost_usd,failure_stage,failure_category,baseline_latency_cycles,final_latency_cycles,latency_change_pct,baseline_lut,final_lut,lut_change_pct,baseline_dsp,final_dsp,dsp_change_pct,baseline_bram,final_bram,bram_change_pct
True,A0 Full,A0-vector_add-s00,vector_add,easy,0,True,True,True,False,True,29,8,17410,2303,0.013794,,,10000,5555,-44.4451,1800,1409,-21.7161,30,19.65,-34.4922,12,10.64,-11.3198
True,A0 Full,A0-vector_add-s01,vector_add,easy,1,True,True,True,False,True,30,8,17430,2309,0.013813,,,10050,5964,-40.6533,1811,1604,-11.4268,31,22.13,-28.6176,13,11.68,-10.1363
True,A0 Full,A0-vector_add-s02,vector_add,easy,2,True,True,True,False,True,31,8,17450,2315,0.013832,,,10100,6060,-40.0041,1822,1623,-10.9486,32,22.88,-28.4975,14,12.76,-8.8361
True,A0 Full,A0-vector_add-s03,vector_add,easy,3,True,True,True,False,True,31,8,17470,2321,0.013851,,,10150,6200,-38.9155,1833,1635,-10.7885,33,23.98,-27.3449,12,11.0,-8.3131
True,A0 Full,A0-vector_add-s04,vector_add,easy,4,True,True,True,False,True,31,8,17490,2327,0.01387,,,10200,6238,-38.8476,1844,1655,-10.2336,30,21.85,-27.1814,13,11.97,-7.9571
True,A0 Full,A0-vector_add-s05,vector_add,easy,5,True,True,True,True,False,32,8,17510,2333,0.01389,qualification,constraint_violation,,,,,,,,,,,,
True,A0 Full,A0-vector_add-s06,vector_add,easy,6,True,True,True,False,True,33,8,17530,2339,0.013909,,,10300,6336,-38.4821,1866,1683,-9.7873,32,23.5,-26.5725,12,11.09,-7.5534
True,A0 Full,A0-vector_add-s07,vector_add,easy,7,True,True,True,False,True,29,8,17550,2345,0.013928,,,10350,6453,-37.6566,1877,1722,-8.277,33,24.45,-25.9138,13,12.04,-7.4152
True,A0 Full,A0-vector_add-s08,vector_add,easy,8,True,True,True,False,True,30,8,17570,2351,0.013947,,,10400,6494,-37.5582,1888,1732,-8.2702,30,22.59,-24.7159,14,12.97,-7.3449
True,A0 Full,A0-vector_add-s09,vector_add,easy,9,True,True,True,False,True,31,8,17590,2357,0.013966,,,10450,6622,-36.6279,1899,1769,-6.8571,31,24.45,-21.1262,12,11.2,-6.6348
True,A0 Full,A0-axpy-s00,axpy,easy,0,True,True,True,False,True,30,8,17610,2363,0.013986,,,10500,6810,-35.1413,1873,1760,-6.0239,31,25.17,-18.8208,13,12.2,-6.1552
True,A0 Full,A0-axpy-s01,axpy,easy,1,True,True,True,False,True,31,8,17630,2369,0.014005,,,10550,6853,-35.0414,1884,1781,-5.4574,32,26.68,-16.6187,14,13.26,-5.2783
True,A0 Full,A0-axpy-s02,axpy,easy,2,True,True,True,False,True,31,8,17650,2375,0.014024,,,10600,7133,-32.712,1895,1815,-4.2295,33,27.55,-16.52,15,14.22,-5.2179
True,A0 Full,A0-axpy-s03,axpy,easy,3,True,True,True,False,True,31,8,17670,2381,0.014043,,,10650,7201,-32.387,1906,1835,-3.717,34,28.73,-15.4882,13,12.52,-3.7
True,A0 Full,A0-axpy-s04,axpy,easy,4,True,True,True,False,True,32,8,17690,2387,0.014062,,,10700,7241,-32.3311,1917,1852,-3.3701,31,26.26,-15.2892,14,13.58,-3.0158
True,A0 Full,A0-axpy-s05,axpy,easy,5,True,True,True,False,True,33,8,17710,2393,0.014082,,,10750,7277,-32.3105,1928,1867,-3.1844,32,27.35,-14.5366,15,14.58,-2.8218
True,A0 Full,A0-axpy-s06,axpy,easy,6,True,True,True,False,True,29,8,17730,2399,0.014101,,,10800,7539,-30.1935,1939,1878,-3.1551,33,28.33,-14.1376,13,12.8,-1.5727
True,A0 Full,A0-axpy-s07,axpy,easy,7,True,True,True,False,True,30,8,17750,2405,0.01412,,,10850,7579,-30.1485,1950,1894,-2.8718,34,29.31,-13.7996,14,13.83,-1.2217
True,A0 Full,A0-axpy-s08,axpy,easy,8,True,True,True,False,True,31,8,17770,2411,0.014139,,,10900,7725,-29.1263,1961,1907,-2.7396,31,26.73,-13.7859,15,14.82,-1.1838
True,A0 Full,A0-axpy-s09,axpy,easy,9,True,True,True,False,True,31,8,17790,2417,0.014158,,,10950,7771,-29.0302,1972,1926,-2.3449,32,27.7,-13.4309,13,12.87,-1.025
True,A0 Full,A0-fir16-s00,fir16,easy,0,True,True,True,False,True,31,8,17810,2423,0.014178,,,11000,7950,-27.7254,1946,1901,-2.307,32,27.98,-12.5528,14,13.86,-1.0023
True,A0 Full,A0-fir16-s01,fir16,easy,1,True,True,True,False,True,31,8,17830,2429,0.014197,,,11050,8012,-27.4921,1957,1915,-2.1374,33,28.86,-12.5445,15,14.87,-0.8881
True,A0 Full,A0-fir16-s02,fir16,easy,2,True,True,True,False,True,31,8,17850,2435,0.014216,,,11100,8091,-27.1061,1968,1930,-1.9109,34,29.88,-12.1108,16,15.87,-0.8003
True,A0 Full,A0-fir16-s03,fir16,easy,3,True,True,True,False,True,32,8,17870,2441,0.014235,,,11150,8203,-26.4334,1979,1956,-1.181,35,30.92,-11.6696,14,13.9,-0.6825
True,A0 Full,A0-fir16-s04,fir16,easy,4,True,True,True,False,True,33,8,17890,2447,0.014254,,,11200,8240,-26.4244,1990,1972,-0.9233,32,28.59,-10.6563,15,14.92,-0.5064
True,A0 Full,A0-fir16-s05,fir16,easy,5,True,True,True,False,True,29,8,17910,2453,0.014274,,,11250,8296,-26.2586,2001,1983,-0.8904,33,29.52,-10.5471,16,15.93,-0.4465
True,A0 Full,A0-fir16-s06,fir16,easy,6,False,False,False,False,False,30,8,17930,2459,0.014293,heldout,interface_mismatch,,,,,,,,,,,,
True,A0 Full,A0-fir16-s07,fir16,easy,7,True,True,True,False,True,31,8,17950,2465,0.014312,,,11350,8510,-25.0247,2023,2015,-0.3908,35,31.69,-9.4627,15,14.95,-0.3279
True,A0 Full,A0-fir16-s08,fir16,easy,8,True,True,True,False,True,31,8,17970,2471,0.014331,,,11400,8612,-24.4545,2034,2030,-0.18,32,29.19,-8.7764,16,16.08,0.4881
True,A0 Full,A0-fir16-s09,fir16,easy,9,True,True,True,False,True,31,8,17990,2477,0.01435,,,11450,8680,-24.1891,2045,2043,-0.0964,33,30.11,-8.7518,14,14.08,0.5761
True,A0 Full,A0-moving_average-s00,moving_average,medium,0,False,False,False,False,False,31,8,18010,2483,0.01437,heldout,numerical_tolerance,,,,,,,,,,,,
True,A0 Full,A0-moving_average-s01,moving_average,medium,1,True,True,True,False,True,31,8,18030,2489,0.014389,,,11550,8769,-24.0798,2030,2032,0.1215,34,31.23,-8.1564,16,16.15,0.937
True,A0 Full,A0-moving_average-s02,moving_average,medium,2,True,True,True,False,True,32,8,18050,2495,0.014408,,,11600,8845,-23.7541,2041,2054,0.6217,35,32.16,-8.109,17,17.21,1.226
True,A0 Full,A0-moving_average-s03,moving_average,medium,3,True,True,True,False,True,33,8,18070,2501,0.014427,,,11650,8887,-23.7136,2052,2080,1.3595,36,33.21,-7.7594,15,15.19,1.2711
True,A0 Full,A0-moving_average-s04,moving_average,medium,4,True,True,True,False,True,29,8,18090,2507,0.014446,,,11700,8945,-23.551,2063,2108,2.1746,33,30.56,-7.4012,16,16.23,1.4262
True,A0 Full,A0-moving_average-s05,moving_average,medium,5,True,True,True,False,True,30,8,18110,2513,0.014466,,,11750,9054,-22.9425,2074,2127,2.5366,34,31.85,-6.3208,17,17.26,1.5402
True,A0 Full,A0-moving_average-s06,moving_average,medium,6,True,True,True,False,True,31,8,18130,2519,0.014485,,,11800,9093,-22.9395,2085,2149,3.0656,35,32.81,-6.2511,15,15.26,1.7535
True,A0 Full,A0-moving_average-s07,moving_average,medium,7,False,False,False,False,False,31,8,18150,2525,0.014504,heldout,boundary_case,,,,,,,,,,,,
True,A0 Full,A0-moving_average-s08,moving_average,medium,8,True,True,True,False,True,31,8,18170,2531,0.014523,,,11900,9303,-21.8222,2107,2175,3.233,33,31.2,-5.455,17,17.31,1.8
True,A0 Full,A0-moving_average-s09,moving_average,medium,9,True,True,True,False,True,32,8,18190,2537,0.014542,,,11950,9354,-21.7278,2118,2196,3.6759,34,32.18,-5.345,15,15.29,1.9325
True,A0 Full,A0-dot_product-s00,dot_product,medium,0,True,True,True,False,True,31,8,18210,2543,0.014562,,,12000,9447,-21.2722,2092,2187,4.5241,34,32.46,-4.5193,16,16.33,2.0432
True,A0 Full,A0-dot_product-s01,dot_product,medium,1,True,True,True,False,True,32,8,18230,2549,0.014581,,,12050,9493,-21.224,2103,2218,5.4875,35,33.7,-3.7101,17,17.38,2.2421
True,A0 Full,A0-dot_product-s02,dot_product,medium,2,True,True,True,False,True,33,8,18250,2555,0.0146,,,12100,9585,-20.7823,2114,2239,5.8997,36,34.85,-3.2046,18,18.53,2.9641
True,A0 Full,A0-dot_product-s03,dot_product,medium,3,True,True,True,False,True,29,8,18270,2561,0.014619,,,12150,9663,-20.4664,2125,2257,6.2065,37,35.95,-2.8439,16,16.49,3.0713
True,A0 Full,A0-dot_product-s04,dot_product,medium,4,True,True,True,False,True,30,8,18290,2567,0.014638,,,12200,9705,-20.4499,2136,2276,6.5528,34,33.33,-1.9631,17,17.6,3.5105
True,A0 Full,A0-dot_product-s05,dot_product,medium,5,False,False,False,False,False,31,8,18310,2573,0.014658,heldout,wrong_arithmetic,,,,,,,,,,,,
True,A0 Full,A0-dot_product-s06,dot_product,medium,6,True,True,True,False,True,31,8,18330,2579,0.014677,,,12300,9791,-20.4011,2158,2303,6.7301,36,35.42,-1.6029,16,16.57,3.5571
True,A0 Full,A0-dot_product-s07,dot_product,medium,7,True,True,True,False,True,31,8,18350,2585,0.014696,,,12350,9918,-19.6906,2169,2322,7.0666,37,36.73,-0.7323,17,17.61,3.5599
True,A0 Full,A0-dot_product-s08,dot_product,medium,8,True,True,True,False,True,32,8,18370,2591,0.014715,,,12400,9973,-19.5721,2180,2342,7.4267,34,33.9,-0.2808,18,18.7,3.8892
True,A0 Full,A0-dot_product-s09,dot_product,medium,9,True,True,True,False,True,33,8,18390,2597,0.014734,,,12450,10144,-18.5256,2191,2355,7.506,35,35.22,0.6145,16,16.74,4.6157
True,A0 Full,A0-matrix_multiply_4x4-s00,matrix_multiply_4x4,medium,0,True,True,True,False,True,32,8,18410,2603,0.014754,,,12500,10195,-18.4367,2165,2329,7.5894,35,35.27,0.7814,12,12.57,4.7387
True,A0 Full,A0-matrix_multiply_4x4-s01,matrix_multiply_4x4,medium,1,True,True,True,False,True,33,8,18430,2609,0.014773,,,12550,10373,-17.3499,2176,2342,7.6461,36,36.3,0.8435,13,13.64,4.9077
True,A0 Full,A0-matrix_multiply_4x4-s02,matrix_multiply_4x4,medium,2,True,True,True,False,True,29,8,18450,2615,0.014792,,,12600,10423,-17.2787,2187,2356,7.713,37,37.32,0.8649,14,14.71,5.0867
True,A0 Full,A0-matrix_multiply_4x4-s03,matrix_multiply_4x4,medium,3,True,True,True,False,True,30,8,18470,2621,0.014811,,,12650,10470,-17.2316,2198,2369,7.7771,38,38.56,1.4752,12,12.67,5.6216
True,A0 Full,A0-matrix_multiply_4x4-s04,matrix_multiply_4x4,medium,4,True,True,True,False,True,31,8,18490,2627,0.01483,,,12700,10557,-16.8725,2209,2392,8.2907,35,35.57,1.637,13,13.76,5.8107
True,A0 Full,A0-matrix_multiply_4x4-s05,matrix_multiply_4x4,medium,5,True,True,True,False,True,31,8,18510,2633,0.01485,,,12750,10670,-16.3106,2220,2407,8.415,36,36.71,1.9743,14,14.83,5.9133
True,A0 Full,A0-matrix_multiply_4x4-s06,matrix_multiply_4x4,medium,6,True,True,True,False,True,31,8,18530,2639,0.014869,,,12800,10726,-16.2028,2231,2426,8.7583,37,37.75,2.0301,12,12.76,6.3536
True,A0 Full,A0-matrix_multiply_4x4-s07,matrix_multiply_4x4,medium,7,True,False,False,False,False,32,8,18550,2645,0.014888,qualification,c_synthesis_failure,,,,,,,,,,,,
True,A0 Full,A0-matrix_multiply_4x4-s08,matrix_multiply_4x4,medium,8,True,True,True,False,True,33,8,18570,2651,0.014907,,,12900,10903,-15.4774,2253,2456,9.0285,35,35.83,2.3705,14,14.94,6.684
True,A0 Full,A0-matrix_multiply_4x4-s09,matrix_multiply_4x4,medium,9,True,True,True,True,False,29,8,18590,2657,0.014926,qualification,constraint_violation,,,,,,,,,,,,
True,A0 Full,A0-convolution_1d-s00,convolution_1d,medium,0,False,False,False,False,False,33,8,18610,2663,0.014946,heldout,boundary_case,,,,,,,,,,,,
True,A0 Full,A0-convolution_1d-s01,convolution_1d,medium,1,True,True,True,False,True,29,8,18630,2669,0.014965,,,13050,11090,-15.0179,2249,2457,9.2498,37,37.91,2.4593,14,14.95,6.7953
